anime_id,episodes,members,rating,label
5114,64,793665,9.26,0
28977,51,114262,9.25,0
9253,24,673572,9.17,0
9969,51,151266,9.16,0
32935,10,93351,9.15,0
11061,148,425855,9.13,0
15417,13,81109,9.11,0
4181,24,456749,9.06,0
918,201,336376,9.04,0
2904,25,572888,8.98,0
28891,25,179342,8.93,0
23273,22,416397,8.92,0
24701,10,75894,8.88,0
1575,25,715151,8.83,0
263,75,157670,8.83,0
1,26,486824,8.82,0
30276,12,552458,8.82,0
17074,26,205959,8.8,0
21939,10,101351,8.8,0
457,26,300030,8.78,0
2001,27,562962,8.78,0
245,43,268487,8.77,0
32983,13,38865,8.76,0
5258,26,88995,8.75,0
11665,13,98431,8.75,0
11741,12,340973,8.73,0
19,74,247562,8.72,0
12365,25,133620,8.71,0
1535,37,1013917,8.71,0
30654,25,176475,8.68,0
20583,25,284498,8.68,0
19647,25,66756,8.68,0
10379,13,102322,8.67,0
22135,11,97187,8.67,0
31043,12,402381,8.65,0
7785,11,122531,8.65,0
3297,13,56162,8.64,0
6114,26,139474,8.64,0
31240,25,355839,8.64,0
5300,13,114173,8.64,0
9989,11,463835,8.62,0
24415,25,184525,8.62,0
28171,24,348951,8.61,0
32995,12,103178,8.61,0
26055,24,93657,8.6,0
22535,24,425457,8.59,0
28735,13,71295,8.59,0
12431,99,72958,8.59,0
16894,25,243325,8.58,0
5028,25,28653,8.58,0
801,26,113993,8.57,0
31933,39,74074,8.57,0
17389,39,31234,8.57,0
170,101,82570,8.56,0
10162,11,194855,8.56,0
32182,12,193716,8.55,0
877,47,197256,8.55,0
2251,13,363215,8.54,0
16498,25,896229,8.54,0
10030,25,151561,8.53,0
5941,50,53108,8.53,0
13125,25,288376,8.53,0
14397,25,86074,8.52,0
10087,13,453630,8.51,0
14719,26,190197,8.51,0
9756,12,462974,8.51,0
10165,26,254436,8.52,0
13601,22,509109,8.5,0
22789,12,225927,8.5,0
30230,51,38531,8.5,0
18115,25,245026,8.5,0
205,26,390076,8.5,0
32282,13,185015,8.5,0
6594,12,207241,8.49,0
7655,25,24788,8.49,0
2246,12,88850,8.49,0
25835,24,146895,8.49,0
2921,47,6259,8.48,2
136,62,166255,8.48,0
30503,13,299434,8.48,0
12531,12,146592,8.48,0
467,26,194491,8.47,0
19815,12,602291,8.47,0
2559,33,15074,8.47,0
392,112,195017,8.47,0
486,13,102822,8.46,0
11771,25,338315,8.46,0
1698,23,157025,8.46,0
5341,12,210491,8.46,0
28701,13,205987,8.45,0
5420,50,36751,8.45,0
4224,25,633817,8.45,0
31181,12,107855,8.43,0
45,94,218928,8.43,0
